Country,Period_ID
thailand,1002
taiwan,169
turkmenistan,234
turkmenistan,253
turkmenistan,32
turkmenistan,64
turkey,55
turkey,97
turkey,127
turkey,141
turkey,341
turkey,498
turkey,499
turkey,500
turkey,501
turkey,502
turkey,933
uzbekistan,160
uzbekistan,32
uzbekistan,64
philippines,143
philippines,233
philippines,505
philippines,1157
philippines,506
philippines,892
sri_lanka,148
sri_lanka,349
sri_lanka,351
sri_lanka,517
sri_lanka,518
sri_lanka,519
south_korea,123
south_korea,182
south_korea,606
japan,1064
japan,15
japan,16
japan,221
japan,483
japan,484
japan,1108
algeria,202
algeria,579
angola,435
angola,434
angola,491
angola,1039
angola,1038
benin,327
benin,1178
botswana,294
botswana,886
biot,716
burkina_faso,388
burundi,443
burundi,670
gabon,382
gambia,455
gambia,456
ghana,393
ghana,612
guinea,525
guinea,526
guinea,524
guinea_bissau,328
guinea_bissau,528
guinea_bissau,529
djibouti,527
egypt,41
egypt,369
egypt,427
egypt,475
egypt,481
egypt,636
egypt,634
egypt,648
egypt,1084
egypt,1085
zambia,408
zambia,409
zambia,413
western_africa,262
western_africa,640
western_sahara,454
zimbabwe,635
zimbabwe,346
cape_verde,363
cape_verde,570
cameroon,375
cameroon,641
cameroon,642
kenya,166
comoros,602
comoros,603
comoros,919
congo_democratic_republic,414
congo_democratic_republic,551
congo_democratic_republic,552
congo_democratic_republic,553
congo_democratic_republic,521
congo_democratic_republic,679
cote_d_ivoire,389
lesotho,559
liberia,497
liberia,894
libya,248
libya,583
mauritius,183
mauritius,438
mauritius,439
mauritius,440
mauritius,441
mauritania,462
mauritania,262
madagascar,395
madagascar,578
malawi,489
malawi,490
mali,390
mali,645
morocco,186
morocco,428
morocco,692
morocco,724
morocco,961
mozambique,364
mozambique,365
mozambique,366
mozambique,492
mozambique,1094
namibia,345
niger,385
nigeria,208
nigeria,608
saint_helena_ascension,599
ascension_island,619
saint_helena,620
saint_helena,1021
west_congo,383
reunion,577
reunion,1086
reunion,1090
rwanda,459
rwanda,670
sao_tome_principe,532
sao_tome_principe,533
seychelles,303
seychelles,403
seychelles,404
senegal,384
somalia,488
somalia,487
somaliland,531
sudan,450
sudan,452
sudan,451
sierra_leone,516
sierra_leone,514
tanzania,304
togo,329
togo,683
togo,684
tristan_da_cunha,618
tunisia,106
tunisia,530
tunisia,493
tunisia,780
tunisia,781
tunisia,785
uganda,243
uganda,604
central_african_republic,377
central_africa,352
central_africa,591
chad,376
equatorial_guinea,378
equatorial_guinea,649
equatorial_guinea,650
eritrea,494
eritrea,495
swaziland,448
swaziland,447
ethiopia,347
ethiopia,595
ethiopia,596
ethiopia,597
south_africa,114
south_africa,396
south_africa,401
south_africa,402
south_sudan,605
australia,104
australia,236
australia,237
australia,354
australia,644
australia,998
american_samoa,863
vanuatu,496
kiribati,520
marshall_islands,666
nauru,624
niue,480
new_zealand,152
new_zealand,238
new_zealand,379
new_zealand,380
new_caledonia,361
cook_islands,397
pitcairn_islands,673
palau,667
papua_new_guinea,284
papua_new_guinea,689
samoa,405
samoa,406
solomon_islands,476
tokelau,723
tonga,545
tuvalu,560
fiji,185
fiji,573
fiji,572
fiji,571
french_polinesia,357
french_polinesia,735
hutt_river,1113
austrian_netherlands,901
austrian_netherlands,882
ajman,982
anhalt_bernburg,902
england,847
england,848
england,934
england,940
argentine_provinces,1047
argentine_provinces,1048
argentine_provinces,898
argentine_provinces,1049
argentine_provinces,1163
armavir,1150
oudh,1213
oudh,1214
bavaria,437
bavaria,812
bavaria,937
bavaria,938
baden,464
baden,853
baroda,1051
bahawalpur,1071
belgian_congo,669
belgian_congo,521
belgian_congo,679
berg,1220
berg,1221
biafra,770
bikaner,1111
bohemia,1061
bohemia,1099
bohemia,1100
bohemia_moravia,213
brandenburg_prussia,1276
brandenburg_prussia,1278
brandenburg_prussia,1277
brandenburg_prussia,1271
brunswick,654
brunswick,905
brunswick_wolfenbuttel,1145
brunswick_wolfenbuttel,1153
brunswick_wolfenbuttel,1146
